
Fecha y Hora: 2024-11-06 17:27:00 | ID Profesor: 12
Fecha y Hora: 2024-11-06 17:27:15 | ID Profesor: 12
Fecha y Hora: 2024-11-06 18:04:32 | ID Profesor: 12
Fecha y Hora: 2024-11-06 18:59:52 | ID Profesor: 26
Fecha y Hora: 2024-11-06 19:00:50 | ID Profesor: 55
Fecha y Hora: 2024-11-06 19:17:52 | ID Profesor: 59
Fecha y Hora: 2024-11-06 19:25:14 | ID Profesor: 53
Fecha y Hora: 2024-11-06 19:28:47 | ID Profesor: 55
Fecha y Hora: 2024-11-06 19:37:47 | ID Profesor: 15
Fecha y Hora: 2024-11-06 19:42:59 | ID Profesor: 29
Fecha y Hora: 2024-11-06 19:43:21 | ID Profesor: 14
Fecha y Hora: 2024-11-06 19:47:41 | ID Profesor: 53
Fecha y Hora: 2024-11-06 19:50:30 | ID Profesor: 53
Fecha y Hora: 2024-11-06 19:51:25 | ID Profesor: 53
Fecha y Hora: 2024-11-06 19:52:16 | ID Profesor: 53
Fecha y Hora: 2024-11-06 19:54:04 | ID Profesor: 12
Fecha y Hora: 2024-11-06 19:57:27 | ID Profesor: 12
Fecha y Hora: 2024-11-06 20:15:28 | ID Profesor: 12
Fecha y Hora: 2024-11-06 20:23:09 | ID Profesor: 55
Fecha y Hora: 2024-11-06 20:24:26 | ID Profesor: 15
Fecha y Hora: 2024-11-06 20:33:45 | ID Profesor: 12
Fecha y Hora: 2024-11-06 20:34:28 | ID Profesor: 12
Fecha y Hora: 2024-11-06 20:37:51 | ID Profesor: 52
Fecha y Hora: 2024-11-06 20:39:01 | ID Profesor: 15
Fecha y Hora: 2024-11-06 20:40:07 | ID Profesor: 52
Fecha y Hora: 2024-11-06 20:43:27 | ID Profesor: 59
Fecha y Hora: 2024-11-06 20:51:53 | ID Profesor: 15
Fecha y Hora: 2024-11-06 20:52:18 | ID Profesor: 14
Fecha y Hora: 2024-11-06 20:56:19 | ID Profesor: 51
Fecha y Hora: 2024-11-06 20:58:41 | ID Profesor: 19
Fecha y Hora: 2024-11-06 21:07:39 | ID Profesor: 12
Fecha y Hora: 2024-11-06 21:09:00 | ID Profesor: 53
Fecha y Hora: 2024-11-06 21:13:28 | ID Profesor: 51
Fecha y Hora: 2024-11-06 21:13:39 | ID Profesor: 15
Fecha y Hora: 2024-11-06 21:17:44 | ID Profesor: 12
Fecha y Hora: 2024-11-06 21:22:58 | ID Profesor: 12
Fecha y Hora: 2024-11-06 21:27:38 | ID Profesor: 53
Fecha y Hora: 2024-11-06 21:28:33 | ID Profesor: 52
Fecha y Hora: 2024-11-06 21:33:51 | ID Profesor: 44
Fecha y Hora: 2024-11-06 21:34:37 | ID Profesor: 14
Fecha y Hora: 2024-11-06 21:39:09 | ID Profesor: 52
Fecha y Hora: 2024-11-06 21:44:43 | ID Profesor: 53
Fecha y Hora: 2024-11-06 21:49:02 | ID Profesor: 59
Fecha y Hora: 2024-11-06 21:51:57 | ID Profesor: 49
Fecha y Hora: 2024-11-06 21:52:49 | ID Profesor: 55
Fecha y Hora: 2024-11-06 21:53:27 | ID Profesor: 53
Fecha y Hora: 2024-11-06 21:53:38 | ID Profesor: 12
Fecha y Hora: 2024-11-06 22:00:34 | ID Profesor: 53
Fecha y Hora: 2024-11-06 22:13:47 | ID Profesor: 15
Fecha y Hora: 2024-11-06 22:25:47 | ID Profesor: 12
Fecha y Hora: 2024-11-06 22:27:06 | ID Profesor: 12
Fecha y Hora: 2024-11-06 22:38:53 | ID Profesor: 35
Fecha y Hora: 2024-11-07 07:42:31 | ID Profesor: 46
Fecha y Hora: 2024-11-07 07:44:36 | ID Profesor: 65
Fecha y Hora: 2024-11-07 07:59:06 | ID Profesor: 19
Fecha y Hora: 2024-11-07 08:20:41 | ID Profesor: 46
Fecha y Hora: 2024-11-07 08:51:18 | ID Profesor: 57
Fecha y Hora: 2024-11-07 09:04:45 | ID Profesor: 65
Fecha y Hora: 2024-11-07 10:35:03 | ID Profesor: 68
Fecha y Hora: 2024-11-07 10:58:26 | ID Profesor: 57
Fecha y Hora: 2024-11-07 11:19:12 | ID Profesor: 30
Fecha y Hora: 2024-11-07 11:47:54 | ID Profesor: 66
Fecha y Hora: 2024-11-07 11:56:57 | ID Profesor: 30
Fecha y Hora: 2024-11-07 12:17:21 | ID Profesor: 68
Fecha y Hora: 2024-11-07 15:31:15 | ID Profesor: 33
Fecha y Hora: 2024-11-07 16:01:24 | ID Profesor: 46
Fecha y Hora: 2024-11-07 17:29:47 | ID Profesor: 30
Fecha y Hora: 2024-11-07 18:10:49 | ID Profesor: 30
Fecha y Hora: 2024-11-07 18:22:52 | ID Profesor: 45
Fecha y Hora: 2024-11-07 18:27:58 | ID Profesor: 33
Fecha y Hora: 2024-11-07 18:52:13 | ID Profesor: 30
Fecha y Hora: 2024-11-07 18:53:54 | ID Profesor: 12
Fecha y Hora: 2024-11-07 19:06:04 | ID Profesor: 55
Fecha y Hora: 2024-11-07 19:20:20 | ID Profesor: 59
Fecha y Hora: 2024-11-07 19:28:28 | ID Profesor: 60
Fecha y Hora: 2024-11-07 19:30:26 | ID Profesor: 15
Fecha y Hora: 2024-11-07 19:35:34 | ID Profesor: 57
Fecha y Hora: 2024-11-07 19:37:44 | ID Profesor: 55
Fecha y Hora: 2024-11-07 19:52:22 | ID Profesor: 12
Fecha y Hora: 2024-11-07 20:00:12 | ID Profesor: 12
Fecha y Hora: 2024-11-07 20:11:51 | ID Profesor: 57
Fecha y Hora: 2024-11-07 20:17:09 | ID Profesor: 59
Fecha y Hora: 2024-11-07 20:22:51 | ID Profesor: 12
Fecha y Hora: 2024-11-07 20:25:48 | ID Profesor: 15
Fecha y Hora: 2024-11-07 20:49:00 | ID Profesor: 59
Fecha y Hora: 2024-11-07 20:51:50 | ID Profesor: 19
Fecha y Hora: 2024-11-07 20:51:56 | ID Profesor: 62
Fecha y Hora: 2024-11-07 20:54:41 | ID Profesor: 53
Fecha y Hora: 2024-11-07 20:59:20 | ID Profesor: 60
Fecha y Hora: 2024-11-07 21:02:42 | ID Profesor: 53
Fecha y Hora: 2024-11-07 21:06:09 | ID Profesor: 12
Fecha y Hora: 2024-11-07 21:07:44 | ID Profesor: 49
Fecha y Hora: 2024-11-07 21:09:03 | ID Profesor: 12
Fecha y Hora: 2024-11-07 21:10:43 | ID Profesor: 15
Fecha y Hora: 2024-11-07 21:12:33 | ID Profesor: 49
Fecha y Hora: 2024-11-07 21:35:18 | ID Profesor: 12
Fecha y Hora: 2024-11-07 21:44:10 | ID Profesor: 52
Fecha y Hora: 2024-11-07 21:44:14 | ID Profesor: 59
Fecha y Hora: 2024-11-07 21:51:51 | ID Profesor: 44
Fecha y Hora: 2024-11-07 21:57:51 | ID Profesor: 49
Fecha y Hora: 2024-11-07 21:58:24 | ID Profesor: 35
Fecha y Hora: 2024-11-07 22:37:37 | ID Profesor: 55
Fecha y Hora: 2024-11-08 08:40:04 | ID Profesor: 26
Fecha y Hora: 2024-11-08 08:51:14 | ID Profesor: 70
Fecha y Hora: 2024-11-08 09:03:46 | ID Profesor: 30
Fecha y Hora: 2024-11-08 09:06:30 | ID Profesor: 25
Fecha y Hora: 2024-11-08 09:17:28 | ID Profesor: 12
Fecha y Hora: 2024-11-08 09:22:57 | ID Profesor: 26
Fecha y Hora: 2024-11-08 09:42:13 | ID Profesor: 30
Fecha y Hora: 2024-11-08 09:54:03 | ID Profesor: 70
Fecha y Hora: 2024-11-08 10:00:11 | ID Profesor: 70
Fecha y Hora: 2024-11-08 10:02:58 | ID Profesor: 70
Fecha y Hora: 2024-11-08 10:06:58 | ID Profesor: 70
Fecha y Hora: 2024-11-08 10:28:36 | ID Profesor: 68
Fecha y Hora: 2024-11-08 10:30:15 | ID Profesor: 26
Fecha y Hora: 2024-11-08 10:37:11 | ID Profesor: 25
Fecha y Hora: 2024-11-08 10:38:44 | ID Profesor: 30
Fecha y Hora: 2024-11-08 10:40:27 | ID Profesor: 66
Fecha y Hora: 2024-11-08 10:58:20 | ID Profesor: 68
Fecha y Hora: 2024-11-08 11:18:40 | ID Profesor: 25
Fecha y Hora: 2024-11-08 11:33:48 | ID Profesor: 14
Fecha y Hora: 2024-11-08 11:39:10 | ID Profesor: 25
Fecha y Hora: 2024-11-08 12:01:03 | ID Profesor: 26
Fecha y Hora: 2024-11-08 13:28:55 | ID Profesor: 26
Fecha y Hora: 2024-11-08 13:54:50 | ID Profesor: 26
Fecha y Hora: 2024-11-08 14:07:01 | ID Profesor: 26
Fecha y Hora: 2024-11-08 15:30:23 | ID Profesor: 26
Fecha y Hora: 2024-11-08 16:03:08 | ID Profesor: 26
Fecha y Hora: 2024-11-08 19:31:09 | ID Profesor: 35
Fecha y Hora: 2024-11-09 10:04:14 | ID Profesor: 33
Fecha y Hora: 2024-11-09 10:42:14 | ID Profesor: 29
Fecha y Hora: 2024-11-09 11:37:05 | ID Profesor: 68
Fecha y Hora: 2024-11-09 11:55:54 | ID Profesor: 29
Fecha y Hora: 2024-11-09 12:19:55 | ID Profesor: 68
Fecha y Hora: 2024-11-09 12:24:09 | ID Profesor: 29
Fecha y Hora: 2024-11-09 13:15:20 | ID Profesor: 68
Fecha y Hora: 2024-11-09 13:57:13 | ID Profesor: 46
Fecha y Hora: 2024-11-09 14:08:19 | ID Profesor: 66
Fecha y Hora: 2024-11-09 16:08:57 | ID Profesor: 66
Fecha y Hora: 2024-11-09 17:40:57 | ID Profesor: 29
Fecha y Hora: 2024-11-09 17:44:14 | ID Profesor: 66
Fecha y Hora: 2024-11-09 17:59:18 | ID Profesor: 69
Fecha y Hora: 2024-11-09 19:00:13 | ID Profesor: 65
Fecha y Hora: 2024-11-09 19:21:40 | ID Profesor: 29
Fecha y Hora: 2024-11-09 19:22:21 | ID Profesor: 21
Fecha y Hora: 2024-11-09 19:31:43 | ID Profesor: 69
Fecha y Hora: 2024-11-09 19:49:08 | ID Profesor: 65
Fecha y Hora: 2024-11-09 20:01:14 | ID Profesor: 39
Fecha y Hora: 2024-11-09 20:11:09 | ID Profesor: 53
Fecha y Hora: 2024-11-09 20:15:32 | ID Profesor: 21
Fecha y Hora: 2024-11-09 20:15:34 | ID Profesor: 29
Fecha y Hora: 2024-11-09 20:40:49 | ID Profesor: 39
Fecha y Hora: 2024-11-09 21:04:45 | ID Profesor: 39
Fecha y Hora: 2024-11-09 21:06:38 | ID Profesor: 21
Fecha y Hora: 2024-11-09 21:27:51 | ID Profesor: 46
Fecha y Hora: 2024-11-09 21:27:52 | ID Profesor: 46
Fecha y Hora: 2024-11-09 21:34:02 | ID Profesor: 21
Fecha y Hora: 2024-11-09 21:35:08 | ID Profesor: 21
Fecha y Hora: 2024-11-09 21:56:22 | ID Profesor: 29
Fecha y Hora: 2024-11-09 22:06:47 | ID Profesor: 21
Fecha y Hora: 2024-11-09 22:46:10 | ID Profesor: 29
Fecha y Hora: 2024-11-09 22:58:10 | ID Profesor: 64
Fecha y Hora: 2024-11-09 23:25:56 | ID Profesor: 29
Fecha y Hora: 2024-11-09 23:47:06 | ID Profesor: 29
Fecha y Hora: 2024-11-10 00:11:12 | ID Profesor: 33
Fecha y Hora: 2024-11-10 08:22:56 | ID Profesor: 33
Fecha y Hora: 2024-11-10 09:32:28 | ID Profesor: 33
Fecha y Hora: 2024-11-10 10:21:14 | ID Profesor: 64
Fecha y Hora: 2024-11-10 10:27:34 | ID Profesor: 29
Fecha y Hora: 2024-11-10 10:35:04 | ID Profesor: 39
